POLITICAL_UNIT,NAME,WGMS_ID,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GLACIER_REGION_CODE,GLACIER_SUBREGION_CODE
IN,RGI50-14.15585,10182,WESTERN HIMALAYA,LAHAUL SPITI,32.36407,77.45265,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15586,6934,WESTERN HIMALAYA,LAHAUL SPITI,32.34368,77.46652,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15587,7332,WESTERN HIMALAYA,LAHAUL SPITI,32.33454,77.41393,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15588,9981,WESTERN HIMALAYA,LAHAUL SPITI,32.35203,77.42321,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15589,7371,WESTERN HIMALAYA,LAHAUL SPITI,32.35694,77.411,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15590,7250,WESTERN HIMALAYA,LAHAUL SPITI,32.36211,77.55382,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15591,6953,WESTERN HIMALAYA,LAHAUL SPITI,32.40481,77.5266,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15592,10239,WESTERN HIMALAYA,LAHAUL SPITI,32.39166,77.40533,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15593,7156,WESTERN HIMALAYA,LAHAUL SPITI,32.42114,77.35522,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15594,9651,WESTERN HIMALAYA,LAHAUL SPITI,32.4341,77.29635,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15595,9735,WESTERN HIMALAYA,LAHAUL SPITI,32.43293,77.29023,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15596,10321,WESTERN HIMALAYA,LAHAUL SPITI,32.39877,77.35206,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15597,9576,WESTERN HIMALAYA,LAHAUL SPITI,32.39019,77.31536,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15598,7077,WESTERN HIMALAYA,LAHAUL SPITI,32.41783,77.33606,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15599,10299,WESTERN HIMALAYA,LAHAUL SPITI,32.3657,77.34564,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15600,10009,WESTERN HIMALAYA,LAHAUL SPITI,32.37661,77.38029,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15601,7214,WESTERN HIMALAYA,LAHAUL SPITI,32.39425,77.37101,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15602,9851,WESTERN HIMALAYA,LAHAUL SPITI,32.43233,77.36803,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15603,9750,WESTERN HIMALAYA,LAHAUL SPITI,32.4393,77.36664,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15604,9493,WESTERN HIMALAYA,LAHAUL SPITI,32.44144,77.36111,6,3,9,,,,,ASW,ASW-03
